age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,unknown,married,primary,no,429,no,no,cellular,28,dec,363,2,-1,0,failure,0
39,blue-collar,divorced,tertiary,no,335,yes,no,cellular,17,aug,218,1,77,0,success,0
48,retired,married,secondary,no,1533,yes,no,cellular,13,dec,64,2,-1,0,unknown,1
57,retired,married,secondary,no,2256,yes,no,cellular,17,may,269,4,-1,0,other,0
38,unknown,married,secondary,no,513,no,no,cellular,11,may,373,2,99,0,unknown,0
38,technician,single,primary,no,1860,yes,yes,cellular,31,mar,165,4,-1,0,success,0
58,management,married,primary,no,3027,no,no,cellular,1,feb,355,7,-1,0,failure,0
49,blue-collar,single,unknown,no,1983,no,no,cellular,24,jun,133,2,-1,0,failure,0
35,services,single,primary,no,-147,yes,no,unknown,13,apr,1012,5,-1,0,unknown,0
46,blue-collar,single,tertiary,no,2434,yes,no,cellular,26,oct,70,1,-1,0,failure,0
35,services,divorced,secondary,no,2034,no,yes,cellular,18,dec,388,1,344,0,other,0
35,student,single,tertiary,no,1459,yes,no,cellular,24,apr,357,1,-1,0,unknown,0
43,management,married,tertiary,no,1940,yes,yes,telephone,29,jun,194,3,-1,0,unknown,0
19,retired,married,tertiary,no,5625,no,no,cellular,28,feb,111,1,-1,0,unknown,0
22,retired,married,secondary,no,646,no,no,cellular,6,feb,152,6,-1,0,unknown,0
34,housemaid,married,primary,no,-95,yes,no,unknown,13,oct,256,4,-1,0,unknown,0
29,housemaid,married,secondary,no,726,yes,no,cellular,21,oct,194,2,-1,0,unknown,0
44,retired,married,secondary,no,-128,no,no,cellular,22,apr,369,2,158,0,other,1
31,technician,married,tertiary,no,322,yes,no,unknown,20,jun,115,3,-1,2,unknown,0
25,admin.,divorced,tertiary,no,1126,yes,yes,cellular,28,feb,29,3,-1,1,unknown,0
57,management,married,secondary,no,355,yes,yes,cellular,11,jul,181,2,-1,0,unknown,1
38,admin.,divorced,primary,yes,1534,yes,no,cellular,19,nov,77,1,-1,0,unknown,0
41,services,married,secondary,no,2388,no,no,cellular,27,aug,247,5,-1,0,unknown,0
25,entrepreneur,single,secondary,no,618,no,yes,cellular,20,sep,189,1,-1,0,unknown,0
35,unknown,single,secondary,no,3255,no,no,cellular,9,jun,389,1,-1,0,unknown,0
42,blue-collar,married,tertiary,no,-75,no,no,cellular,13,feb,220,3,-1,0,unknown,0
28,blue-collar,married,unknown,no,2549,yes,no,cellular,15,jun,145,5,407,0,unknown,0
45,technician,married,primary,no,2445,yes,no,unknown,24,aug,32,1,-1,1,unknown,0
34,admin.,married,primary,no,382,no,no,unknown,11,oct,33,3,-1,1,unknown,0
37,self-employed,divorced,secondary,no,332,yes,yes,cellular,24,jan,263,2,-1,0,unknown,0
34,self-employed,single,secondary,no,345,yes,no,cellular,16,nov,548,3,-1,0,unknown,0
61,management,married,tertiary,yes,2302,yes,no,cellular,31,jun,138,1,-1,0,unknown,0
40,services,married,secondary,no,2472,yes,no,cellular,17,dec,195,3,-1,0,unknown,0
29,admin.,married,primary,no,400,yes,no,unknown,5,nov,230,1,-1,1,unknown,0
50,technician,married,tertiary,no,1146,yes,no,unknown,22,jan,167,3,-1,0,unknown,0
27,management,single,unknown,no,24,yes,no,cellular,30,jun,15,3,-1,0,unknown,0
43,technician,married,secondary,no,748,yes,yes,cellular,14,oct,229,6,162,0,unknown,0
19,services,married,secondary,no,9879,yes,no,unknown,15,apr,38,1,-1,0,unknown,0
26,unknown,married,secondary,no,59,yes,no,unknown,9,mar,209,3,-1,0,unknown,0
43,admin.,married,secondary,no,4222,no,no,cellular,14,mar,385,1,361,0,unknown,0
49,technician,single,tertiary,no,2408,no,no,cellular,10,apr,1,1,-1,0,unknown,0
42,admin.,married,secondary,no,5174,no,no,cellular,26,mar,145,2,-1,0,failure,0
39,management,divorced,secondary,no,96,no,no,unknown,22,sep,353,1,281,0,unknown,0
37,technician,single,secondary,no,160,no,no,cellular,31,apr,193,1,-1,0,unknown,0
24,unknown,married,secondary,no,-174,yes,no,unknown,13,jan,69,3,-1,1,other,0
33,management,married,tertiary,no,1734,yes,no,cellular,17,apr,308,3,-1,0,unknown,0
35,admin.,single,secondary,no,1349,no,no,unknown,1,jan,394,1,-1,0,unknown,0
52,technician,divorced,secondary,no,94,no,no,cellular,14,oct,116,2,-1,0,unknown,0
44,unknown,single,secondary,no,2149,yes,no,cellular,12,oct,91,1,-1,0,failure,0
21,entrepreneur,married,secondary,no,333,no,no,cellular,7,mar,203,7,-1,0,success,0
44,blue-collar,divorced,secondary,no,17,yes,no,cellular,3,apr,117,2,-1,1,unknown,0
36,management,married,secondary,no,623,yes,no,cellular,23,apr,466,1,-1,0,unknown,1
33,management,single,secondary,no,-56,yes,no,cellular,21,sep,389,1,-1,0,other,0
47,services,divorced,tertiary,no,258,yes,no,cellular,1,jun,96,1,-1,0,failure,0
52,technician,married,tertiary,no,496,yes,no,cellular,27,mar,157,1,-1,0,failure,0
51,admin.,divorced,primary,no,2664,no,yes,cellular,30,jul,568,2,-1,1,unknown,0
31,student,married,secondary,no,2159,yes,no,cellular,24,nov,41,5,-1,0,unknown,0
37,technician,divorced,tertiary,no,677,yes,no,cellular,13,apr,362,4,-1,0,unknown,0
44,technician,married,primary,no,1734,yes,yes,cellular,25,jul,98,3,-1,0,unknown,0
51,retired,divorced,secondary,no,1061,yes,no,cellular,22,feb,32,1,-1,0,unknown,0
35,unemployed,married,tertiary,no,425,no,no,cellular,2,jul,32,1,-1,0,unknown,0
38,services,single,secondary,no,1741,yes,yes,cellular,9,aug,83,1,753,0,unknown,0
28,blue-collar,married,secondary,no,1525,yes,no,cellular,18,dec,204,1,-1,0,failure,0
27,admin.,married,tertiary,no,1247,yes,no,cellular,22,jul,615,1,69,0,unknown,0
