CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,25,43,65
2,Male,30,16,65
3,Female,26,40,67
4,Female,25,23,75
5,Female,19,23,93
6,Female,23,23,89
7,Female,29,45,63
8,Female,25,26,95
9,Male,28,33,68
10,Male,37,25,79
11,Male,24,44,79
12,Female,18,30,84
13,Female,26,41,89
14,Male,23,30,52
15,Female,24,24,74
16,Male,23,26,87
17,Female,27,33,83
18,Female,30,36,84
19,Male,29,27,75
20,Male,24,34,71
21,Female,29,33,70
22,Female,22,43,89
23,Female,21,15,65
24,Female,22,18,80
25,Male,27,30,51
26,Male,26,32,83
27,Female,28,19,79
28,Male,28,15,66
29,Male,28,27,83
30,Female,24,23,82
31,Female,22,35,58
32,Male,28,29,41
33,Male,25,44,65
34,Female,28,15,76
35,Male,23,28,91
36,Female,22,39,68
37,Female,27,34,72
38,Female,28,29,46
39,Female,30,26,65
40,Female,28,32,68
41,Male,53,76,66
42,Male,55,73,71
43,Female,49,79,62
44,Male,48,83,69
45,Female,49,74,48
46,Female,28,80,68
47,Female,42,52,80
48,Male,50,79,43
49,Female,40,67,58
50,Female,34,54,50
51,Female,37,70,74
52,Female,44,78,74
53,Male,34,66,75
54,Male,37,73,81
55,Male,44,57,74
56,Female,33,85,74
57,Male,40,69,66
58,Female,58,66,56
59,Female,51,80,63
60,Male,45,98,75
61,Female,62,80,55
62,Female,35,69,68
63,Female,34,86,64
64,Male,51,61,71
65,Male,42,67,67
66,Female,55,89,75
67,Female,30,67,59
68,Male,43,83,68
69,Male,38,53,77
70,Male,56,74,55
71,Female,36,91,65
72,Female,43,85,55
73,Male,44,83,58
74,Male,49,59,63
75,Male,37,95,71
76,Female,43,68,75
77,Female,47,57,51
78,Female,53,79,63
79,Female,49,70,76
80,Male,43,70,78
81,Male,44,68,59
82,Female,34,48,49
83,Male,53,50,56
84,Female,41,50,59
85,Male,35,43,37
86,Female,38,53,31
87,Female,38,62,52
88,Male,36,49,36
89,Male,35,62,44
90,Female,44,71,47
91,Female,45,55,46
92,Female,29,55,33
93,Male,42,68,28
94,Female,32,37,33
95,Female,32,40,47
96,Male,49,59,60
97,Female,41,48,48
98,Male,41,71,63
99,Female,28,55,44
100,Female,48,43,50
101,Male,44,74,50
102,Female,37,57,46
103,Male,40,38,39
104,Female,27,59,62
105,Female,37,54,56
106,Female,42,47,43
107,Female,33,45,66
108,Male,36,61,37
109,Female,31,73,36
110,Female,26,62,47
111,Female,44,56,45
112,Female,36,66,32
113,Male,38,69,66
114,Female,46,49,48
115,Female,33,62,46
116,Female,46,59,42
117,Female,32,51,36
118,Male,38,67,68
119,Male,35,57,52
120,Male,35,52,48
121,Female,48,88,28
122,Male,39,68,16
123,Female,45,74,16
124,Female,49,86,10
125,Female,55,74,5
126,Female,54,75,12
127,Male,50,46,17
128,Male,70,87,9
129,Male,50,69,11
130,Male,37,69,23
131,Female,57,104,8
132,Female,58,63,1
133,Female,53,57,29
134,Male,60,79,9
135,Male,53,70,12
136,Male,56,67,24
137,Male,44,79,31
138,Male,54,82,12
139,Female,44,105,45
140,Female,58,66,21
141,Male,61,68,15
142,Male,53,87,19
143,Female,58,98,18
144,Male,56,52,34
145,Male,47,93,37
146,Female,58,53,12
147,Female,55,109,16
148,Male,56,85,25
149,Female,59,66,24
150,Female,56,76,10
151,Male,56,52,27
152,Male,55,89,10
153,Male,38,93,15
154,Female,65,62,30
155,Female,54,87,29
156,Male,56,101,21
157,Male,51,66,15
158,Female,60,79,13
159,Female,52,70,26
160,Female,63,98,28
161,Male,37,26,19
162,Male,24,25,8
163,Male,29,30,19
164,Male,29,18,19
165,Female,27,25,22
166,Male,33,27,26
167,Female,33,18,20
168,Female,22,25,27
169,Male,21,25,9
170,Male,20,27,36
171,Male,25,24,28
172,Male,33,25,16
173,Male,33,22,28
174,Male,19,24,25
175,Female,24,15,16
176,Male,35,15,24
177,Female,34,27,18
178,Male,20,26,20
179,Male,30,17,20
180,Female,26,15,6
181,Female,28,25,13
182,Female,32,32,20
183,Female,37,24,24
184,Male,26,21,17
185,Male,26,26,17
186,Female,24,22,28
187,Male,41,31,29
188,Female,22,25,28
189,Male,29,19,20
190,Female,19,24,15
191,Female,29,24,10
192,Female,42,15,26
193,Female,30,25,18
194,Female,24,25,13
195,Male,29,25,36
196,Male,31,23,27
197,Male,27,26,9
198,Male,18,26,11
199,Male,27,18,19
200,Male,25,30,24
