Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01,00:00:00,0.352,0.048,239.7,1.47,0.131,0.042,0.049
2007-01-01,01:00:00,0.43,0.062,241.39,1.78,0.186,0.044,0.032
2007-01-01,02:00:00,0.359,0.051,241.99,1.48,0.15,0.055,0.048
2007-01-01,03:00:00,0.21,-0.013,242.82,0.86,0.076,0.035,0.026
2007-01-01,04:00:00,0.241,0.001,240.54,1.0,0.085,0.038,0.026
2007-01-01,05:00:00,0.318,0.051,236.53,1.34,0.116,0.051,0.033
2007-01-01,06:00:00,0.507,0.028,236.48,2.14,0.159,0.071,0.041
2007-01-01,07:00:00,0.735,0.094,237.47,3.09,0.258,0.121,0.076
2007-01-01,08:00:00,1.134,0.106,241.44,4.7,0.501,0.118,0.1
2007-01-01,09:00:00,1.097,0.077,237.18,4.63,0.368,0.126,0.152
2007-01-01,10:00:00,0.949,0.068,239.53,3.96,0.311,0.137,0.103
2007-01-01,11:00:00,0.734,0.082,239.16,3.07,0.344,0.143,0.059
2007-01-01,12:00:00,0.955,0.106,240.72,3.97,0.332,0.157,0.062
2007-01-01,13:00:00,0.763,0.108,241.43,3.16,0.267,0.103,0.091
2007-01-01,14:00:00,0.749,0.075,240.19,3.12,0.294,0.109,0.087
2007-01-01,15:00:00,0.831,0.079,241.6,3.44,0.328,0.153,0.071
2007-01-01,16:00:00,0.955,0.131,237.8,4.02,0.322,0.147,0.063
2007-01-01,17:00:00,1.205,0.104,242.04,4.98,0.495,0.126,0.146
2007-01-01,18:00:00,1.507,0.145,240.26,6.27,0.662,0.213,0.116
2007-01-01,19:00:00,1.795,0.189,241.52,7.43,0.713,0.249,0.245
2007-01-01,20:00:00,1.603,0.142,238.97,6.71,0.768,0.305,0.197
2007-01-01,21:00:00,1.409,0.15,235.9,5.97,0.702,0.184,0.196
2007-01-01,22:00:00,1.098,0.11,241.33,4.55,0.446,0.117,0.163
2007-01-01,23:00:00,0.685,0.091,239.71,2.86,0.339,0.093,0.058
2007-01-02,00:00:00,0.319,0.024,242.4,1.32,0.137,0.033,0.032
2007-01-02,01:00:00,0.222,0.009,240.84,0.92,0.09,0.041,0.02
2007-01-02,02:00:00,0.234,0.062,245.9,0.95,0.111,0.037,0.013
2007-01-02,03:00:00,0.143,0.031,242.54,0.59,0.07,0.021,0.013
2007-01-02,04:00:00,0.28,0.05,239.5,1.17,0.14,0.038,0.026
2007-01-02,05:00:00,0.312,0.048,236.83,1.32,0.141,0.044,0.021
2007-01-02,06:00:00,0.447,0.031,238.26,1.88,0.178,0.08,0.062
2007-01-02,07:00:00,0.826,0.063,238.12,3.47,0.297,0.097,0.065
2007-01-02,08:00:00,1.238,0.105,238.96,5.18,0.51,0.133,0.156
2007-01-02,09:00:00,1.471,0.136,239.75,6.13,0.67,0.23,0.085
