SK_ID_CURR,TARGET,CODE_GENDER,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CNT_PREV_LOANS,REGION_POPULATION_RELATIVE,FLAG_DOCUMENT_3,FLAG_PHONE
100001,0,F,Higher education,Married,House/apartment,58149.0,192179.12,2330.42,3.3049,0.0401,-10585,-2047,-4898,0.1265,0.6555,0.2535,4,0.000519,1,1
100002,0,F,Secondary,Separated,House/apartment,30000.0,65490.1,863.77,2.183,0.0288,-14235,-5946,-2108,0.7279,0.0084,0.8408,3,0.015768,1,1
100003,0,M,Secondary,Married,House/apartment,324316.23,1734622.63,24794.24,5.3486,0.0765,-17155,-278,-1342,0.4595,0.8935,0.4306,6,0.013203,1,0
100004,0,M,Secondary,Civil marriage,House/apartment,132481.12,166782.37,2045.92,1.2589,0.0154,-17520,-6654,-564,0.4409,0.3295,0.4373,0,0.026072,1,0
100005,0,F,Secondary,Separated,House/apartment,77645.32,337863.66,5552.72,4.3514,0.0715,-7665,-154,-5369,0.54,0.7022,0.1573,2,0.02602,1,0
100006,0,F,Secondary,Married,With parents,30000.0,34345.41,477.57,1.1448,0.0159,-17885,-3067,-2437,0.591,0.7135,0.0923,3,0.044417,1,1
100007,1,F,Higher education,Married,House/apartment,30000.0,135469.57,1610.62,4.5157,0.0537,-17155,-684,-4519,0.761,0.1568,0.1007,1,0.005635,1,1
100008,0,F,Higher education,Married,House/apartment,44391.19,169321.85,2649.1,3.8143,0.0597,-13870,-1001,-1329,0.8269,0.0374,0.6216,2,0.007286,1,1
100009,1,F,Academic degree,Married,House/apartment,75579.28,274802.47,4065.96,3.6359,0.0538,-10585,-589,-4537,0.8114,0.3589,0.0378,1,0.005577,1,1
100010,1,F,Secondary,Married,House/apartment,136990.72,492633.01,7160.26,3.5961,0.0523,-13870,-3075,-4548,0.46,0.4975,0.17,1,0.015596,1,0
100011,0,F,Higher education,Married,House/apartment,65090.05,189117.12,2080.52,2.9055,0.032,-21900,-1177,-3312,0.7103,0.5303,0.3265,4,0.027329,1,1
100012,0,M,Secondary,Married,House/apartment,98437.99,534197.42,9412.78,5.4267,0.0956,-17885,-2038,-4906,0.5753,0.3295,0.4616,4,0.011815,0,1
100013,0,F,Secondary,Married,House/apartment,170874.37,120137.43,3936.42,0.7031,0.023,-19345,-5527,-1121,0.7582,0.0459,0.0255,4,0.049641,1,1
100014,0,M,Secondary,Married,Municipal apartment,30000.0,159706.03,1842.19,5.3235,0.0614,-11680,-836,-3830,0.2197,0.92,0.4539,1,0.004807,0,1
100015,0,M,Secondary,Civil marriage,House/apartment,111617.1,316907.23,11308.45,2.8392,0.1013,-13505,-1201,-3685,0.1693,0.7728,0.6745,1,0.005697,1,1
100016,0,F,Secondary,Married,House/apartment,50276.31,116082.19,4248.74,2.3089,0.0845,-10220,-127,-5326,0.8124,0.6042,0.129,2,0.005848,1,0
100017,0,F,Secondary,Married,With parents,228510.74,863213.81,22682.97,3.7776,0.0993,-12775,-1670,-776,0.8451,0.0707,0.5908,0,0.010945,1,0
100018,0,F,Secondary,Single,House/apartment,58494.68,98916.33,3377.58,1.691,0.0577,-20805,-695,-5936,0.4391,0.4479,0.2328,5,0.011064,1,1
100019,0,F,Secondary,Married,House/apartment,30000.0,88509.53,1437.58,2.9503,0.0479,-13870,-1722,-3534,0.223,0.6478,0.5539,0,0.052955,1,1
100020,0,F,Secondary,Married,House/apartment,233683.28,922855.06,10598.68,3.9492,0.0454,-12775,-658,-4183,0.7639,0.7497,0.4468,3,0.000564,1,0
100021,0,F,Higher education,Married,House/apartment,219661.93,561451.0,13503.79,2.556,0.0615,-16425,-211,-3379,0.6895,0.9065,0.6333,1,0.005132,1,0
100022,0,M,Secondary,Married,Rented apartment,93523.18,210391.26,7620.74,2.2496,0.0815,-13140,-669,-317,0.7844,0.1657,0.4987,4,0.008283,1,0
100023,0,F,Higher education,Married,House/apartment,30549.14,114357.56,2713.4,3.7434,0.0888,-16060,-3136,-1097,0.5581,0.2582,0.4517,1,0.006659,1,1
100024,0,F,Incomplete higher,Single,House/apartment,96071.87,378515.83,8430.26,3.9399,0.0877,-13140,-368,-3742,0.8796,0.4786,0.2528,2,0.02062,0,1
100025,0,F,Secondary,Married,House/apartment,87470.41,194309.17,2250.48,2.2214,0.0257,-16425,-354,-1531,0.5584,0.7668,0.6632,4,0.008895,1,0
100026,1,M,Higher education,Single,With parents,30000.0,122019.05,1710.77,4.0673,0.057,-13870,-3162,-2172,0.266,0.5699,0.7661,2,0.026569,1,0
100027,1,M,Higher education,Married,With parents,67631.71,347515.63,10019.73,5.1384,0.1482,-10950,-545,-1074,0.4619,0.494,0.367,3,0.02505,0,0
100028,0,M,Secondary,Single,House/apartment,252784.17,283790.19,6328.5,1.1227,0.025,-19710,-737,-5784,0.4226,0.7261,0.9383,4,0.020502,1,1
100029,0,M,Secondary,Single,With parents,104883.13,594069.78,8565.86,5.6641,0.0817,-22630,-1419,-2428,0.3783,0.4314,0.9694,2,0.03919,0,1
100030,0,M,Secondary,Civil marriage,House/apartment,30000.0,26109.03,937.99,0.8703,0.0313,-17520,-1006,-3200,0.6489,0.8981,0.7453,3,0.018523,1,1
100031,0,M,Secondary,Single,Municipal apartment,323816.72,1095730.63,15032.37,3.3838,0.0464,-9490,-3141,-358,0.7026,0.7372,0.5914,5,0.09147,1,0
100032,0,F,Secondary,Married,House/apartment,204393.98,1117015.51,12847.05,5.465,0.0629,-14600,-1573,-1261,0.5597,0.7529,0.0711,3,0.002008,1,1
100033,0,F,Secondary,Civil marriage,Rented apartment,117524.19,224085.2,2592.4,1.9067,0.0221,-16425,-2291,-5669,0.7674,0.8422,0.1219,2,0.033311,1,1
100034,0,F,Secondary,Married,Rented apartment,46675.15,202191.3,7155.14,4.3319,0.1533,-8760,-2250,-1867,0.77,0.9773,0.164,2,0.006563,1,1
